x,y,z,plane,x_um,y_um,z_um
3478,1969,3,4,3491.912,1976.876,18.0
4028,1959,5,6,4044.112,1966.836,30.0
3703,1960,1,2,3717.812,1967.84,6.0
4012,1964,1,2,4028.0480000000002,1971.856,6.0
3553,1965,1,2,3567.212,1972.86,6.0
3320,1968,2,3,3333.28,1975.872,12.0
3782,1974,1,2,3797.128,1981.896,6.0
3976,1979,1,2,3991.904,1986.916,6.0
3684,1982,1,2,3698.736,1989.928,6.0
3423,1985,3,4,3436.692,1992.94,18.0
3394,2001,4,5,3407.576,2009.004,24.0
3633,1987,1,2,3647.532,1994.948,6.0
2941,1993,2,3,2952.764,2000.972,12.0
3433,2008,4,5,3446.732,2016.032,24.0
3763,1997,1,2,3778.052,2004.988,6.0
3983,2006,1,2,3998.932,2014.0240000000001,6.0
3998,2002,4,5,4013.992,2010.008,24.0
3352,2006,4,5,3365.408,2014.0240000000001,24.0
4019,2002,1,2,4035.076,2010.008,6.0
4052,2015,1,2,4068.208,2023.06,6.0
3772,2017,1,2,3787.088,2025.068,6.0
3450,2025,3,4,3463.8,2033.1,18.0
3383,2019,4,5,3396.532,2027.076,24.0
3415,2032,4,5,3428.66,2040.128,24.0
3963,2022,1,2,3978.852,2030.088,6.0
3833,2024,1,2,3848.332,2032.096,6.0
3370,2034,5,6,3383.48,2042.136,30.0
4003,2037,4,5,4019.012,2045.148,24.0
3355,2032,2,3,3368.42,2040.128,12.0
3925,2029,1,2,3940.7,2037.116,6.0
4016,2030,1,2,4032.064,2038.1200000000001,6.0
4022,2034,2,3,4038.088,2042.136,12.0
3390,2036,1,2,3403.56,2044.144,6.0
3361,2044,2,3,3374.444,2052.176,12.0
3992,2046,2,3,4007.968,2054.184,12.0
3397,2063,4,5,3410.588,2071.252,24.0
3403,2062,1,2,3416.612,2070.248,6.0
3600,2064,1,2,3614.4,2072.256,6.0
3547,2065,1,2,3561.188,2073.26,6.0
3708,2068,1,2,3722.832,2076.272,6.0
4051,2068,2,3,4067.204,2076.272,12.0
4030,2075,4,5,4046.12,2083.3,24.0
3343,2075,1,2,3356.372,2083.3,6.0
